Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Chander Bhusan Barowalia,Male,1961-03-15T00:00:00Z,Not Available,Not Available,2016-04-12T00:00:00Z,2023-03-14T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Yes,Not Available,Not Available,Not Available,"Govt. Degree College, Shimla",Science (Medical),Himachal Pradesh University,Not Available,1984,Himachal Pradesh,No,Yes,No,HimachalPradesh,
Sureshwar Thakur,Male,1963-05-18T00:00:00Z,Himachal Pradesh,Shimla,2014-05-05T00:00:00Z,2025-05-17T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,"St. Edwards School, Shimla","Govt. Degree Colg., Shimla",Arts,Himachal Pradesh University,Not Available,1987,Himachal Pradesh,No,No,No,HimachalPradesh,
Tarlok Singh Chauhan,Male,1964-01-09T00:00:00Z,Himachal Pradesh,Rohru,2014-03-23T00:00:00Z,2026-01-08T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Yes,Not Available,"Bishop Cotton School, Shimla","DAV College, Chandigarh",Not Available,"PNot Availablejab University, Chandigarh",Not Available,1989,Himachal Pradesh,No,No,No,HimachalPradesh,
Vivek Singh Thakur,Male,1966-04-16T00:00:00Z,Himachal Pradesh,Bilaspur,2016-04-12T00:00:00Z,2028-04-15T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"Govt. Degree Colg., Bilaspur",Science,Himachal Pradesh University,Not Available,1990,Himachal Pradesh,No,No,Yes,HimachalPradesh,
Anoop Chitkara,Male,1966-04-29T00:00:00Z,Himachal Pradesh,Shimla,2019-05-30T00:00:00Z,2028-04-28T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,"DAV School, Lakkar Bazar","Rajiv Gandhi Govt Degree College, Shimla",Arts,Himachal Pradesh University,Not Available,1990,Himachal Pradesh,No,No,No,HimachalPradesh,
Sandeep Sharma,Male,1968-07-20T00:00:00Z,Himachal Pradesh,Shimla,2016-04-12T00:00:00Z,2030-07-19T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Yes,Not Available,"DAV School, Sanjouli and Senior Secondary School, Lalpani, Shimla","Govt. Degree College, Shimla",Arts,Himachal Pradesh University,1993,1993,Himachal Pradesh,No,No,No,HimachalPradesh,
Ajay Mohan Goel,Male,1969-01-10T00:00:00Z,Chandigarh,Chandigarh,2016-04-12T00:00:00Z,2031-01-09T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,Not Available,"St. Edwards School, Shimla","Govt. College, Sanjauli",Arts (English),Himachal Pradesh University,1992,1992,Himachal Pradesh,No,No,No,HimachalPradesh,
Jyotsna Rewal Dua,Female,1969-05-25T00:00:00Z,Himachal Pradesh,Nahan,2019-05-30T00:00:00Z,2031-05-24T00:00:00Z,No,No,HimachalPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Govt. degree college, Not Availablelagarh",Not Available,Himachal Pradesh University,1991,1991,Himachal Pradesh,No,No,No,HimachalPradesh,
Moti Lal Bhatt,Male,1931-01-10T00:00:00Z,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
Sukhdev Singh Kang,Male,1931-05-15T00:00:00Z,Not Available,Not Available,1979-02-19T00:00:00Z,1993-05-14T00:00:00Z,No,No,PunjabandHaryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
S.C. Mathur,Male,1932-03-18T00:00:00Z,Not Available,Not Available,1978-03-30T00:00:00Z,1994-03-17T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1959,Uttar Pradesh,Not Available,Not Available,Not Available,J&KandLadakh,
Saiyed Saghir Ahmad,Male,1935-07-01T00:00:00Z,Not Available,Not Available,1981-11-02T00:00:00Z,2000-06-30T00:00:00Z,No,No,Allahabad,Yes,J&KandLadakh,1993-11-01T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Andhra Pradesh,Not Applicable,Yes,1995-03-06T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1961,Uttar Pradesh,No,Not Available,Not Available,J&KandLadakh,
Adarsh Sein Anand,Male,1936-11-01T00:00:00Z,Jammu & Kashmir,Jammu,1975-05-26T00:00:00Z,2001-10-30T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,Yes,1991-11-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,Yes,Not Available,Yes,J&KandLadakh,
Ram Prakash Sethi,Male,1937-07-07T00:00:00Z,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
B. P. Saraf,Male,1939-08-23T00:00:00Z,Not Available,Not Available,1989-01-02T00:00:00Z,2001-08-22T00:00:00Z,No,No,Gauhati,Yes,Bombay,1991-12-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Gauhati University,Commerce,Not Available,Not Available,Not Available,Not Available,No,Yes,No,J&KandLadakh,
H. K. Sema,Male,1943-06-01T00:00:00Z,Not Available,Not Available,1989-05-24T00:00:00Z,2008-05-31T00:00:00Z,No,No,Gauhati,Yes,J&KandLadakh,2001-06-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,Yes,2002-04-09T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"St. Joseph College, Darjeeling",Not Available,"Govt. Law College, Mumbai",1970,1971,"Assam, Not Availablegaland, Meghalaya, Manipur, Tripura, Mizoram and AruNot Availablechal Pradesh",No,No,No,J&KandLadakh,
Babulal Chandulal Patel,Male,1943-08-07T00:00:00Z,Gujarat,Ahmedabad,1990-06-21T00:00:00Z,2005-08-06T00:00:00Z,No,No,Gujarat,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Delhi,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts (Economics),Gujarat University,1967,1968,Gujarat,No,Yes,No,J&KandLadakh,
Bashir Khan,Male,1945-04-01T00:00:00Z,Not Available,Not Available,Not Available,2007-03-31T00:00:00Z,No,No,J&KandLadakh,Yes,MadhyaPradesh,1997-10-07T00:00:00Z,Delhi,2000-01-13T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1971,Delhi,Not Available,Not Available,Not Available,J&KandLadakh,
Manmohan Sarin,Male,1946-10-20T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2008-10-19T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
Yash Nargotra,Male,1947-08-22T00:00:00Z,Jammu & Kashmir,Not Available,2003-01-07T00:00:00Z,2009-08-22T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1975,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
K.S. Radhakrishnan,Male,1949-05-15T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2014-05-14T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Gujarat,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,He had his education at Cochin.,Not Available,Science,Not Available,Not Available,1973,Not Available,No,No,Yes,J&KandLadakh,
Hakim Hussain,Male,1949-07-16T00:00:00Z,Jammu & Kashmir,Not Available,2004-09-30T00:00:00Z,2011-07-15T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Jammu and Kashmir University,Not Available,Aligarh Muslim University,1971,1971,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
Nisar Ahmad Kakru,Male,1949-10-26T00:00:00Z,Jammu & Kashmir,Baramulla,1997-11-01T00:00:00Z,2007-10-26T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1982,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
Vinod Gupta,Male,1950-01-18T00:00:00Z,Jammu & Kashmir,Not Available,2008-11-05T00:00:00Z,Not Available,Not Available,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Jammu and Kashmir University,Not Available,Delhi University,1972,1972,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
Permod Kohli,Male,1951-03-01T00:00:00Z,Jammu & Kashmir,Rajouri,2003-01-07T00:00:00Z,2013-02-28T00:00:00Z,No,No,J&KandLadakh,Yes,Jharkhand,2006-03-28T00:00:00Z,PunjabandHaryana,2007-10-05T00:00:00Z,Not Applicable,Not Applicable,Yes,Sikkim,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,G.G.M. Science College,Not Available,University of jammu,1972,1972,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
Jai Pal Singh,Male,1951-04-06T00:00:00Z,Jammu & Kashmir,Kehli Mandi,2005-10-04T00:00:00Z,2013-04-06T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1971,1971,Jammu and Kashmir,Not Available,Not Available,No,J&KandLadakh,
Fakkir Mohamed Ibrahim Kalifulla,Male,1951-07-23T00:00:00Z,Not Available,Not Available,2000-03-20T00:00:00Z,2016-07-22T00:00:00Z,No,No,Madras,Yes,J&KandLadakh,2011-02-24T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,Yes,2012-04-02T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,Not Available,Not Available,1975,Not Available,No,Yes,Yes,J&KandLadakh,
Mahesh Kumar,Male,1953-01-05T00:00:00Z,Punjab,Not Available,2001-07-02T00:00:00Z,2015-01-04T00:00:00Z,No,No,PunjabandHaryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"Punjabi University, Patiala",1977,1977,Punjab and HaryaNot Available High Court ( 1991-1992),Yes,No,Yes,J&KandLadakh,
Hasnain Massodi,Male,1954-01-02T00:00:00Z,Jammu & Kashmir,"Khrew, Pulwama",2009-11-13T00:00:00Z,2016-01-01T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"Harvard Law School, Harvard University",Not Available,Not Available,Not Available,Yes,Not Available,Yes,J&KandLadakh,
Bansi Lal Bhat,Male,1954-04-19T00:00:00Z,Jammu & Kashmir,"Arihal, Pulwama District",2013-03-08T00:00:00Z,2016-04-18T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,"Government High School, Hawal","Amar Singh College, SriNot Availablegar",Arts,University of Kashmir,1974,1975,Not Available,Not Available,Not Available,No,J&KandLadakh,
Muzaffar Hussain Attar,Male,1955-01-30T00:00:00Z,Not Available,Not Available,2008-11-05T00:00:00Z,2017-01-29T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,ANot AvailablentNot Availableg College,Not Available,Not Available,1977,1985,Not Available,Not Available,Not Available,No,J&KandLadakh,
Narayanan Nadar Paul Vasanthakumar,Male,1955-03-15T00:00:00Z,Not Available,Not Available,2005-12-10T00:00:00Z,2017-03-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,J&K and Ladakh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Science,Not Available,Not Available,1980,Not Available,No,Yes,Yes,J&KandLadakh,
Mansoor Ahmad Mir,Male,1955-04-25T00:00:00Z,Jammu & Kashmir,Village Rajpora,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Amar Singh College ,Arts,Not Available,1978,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
Janak Kotwal,Male,1956-08-29T00:00:00Z,Jammu & Kashmir,Bhaderwah,2013-03-08T00:00:00Z,2018-08-28T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,J&KandLadakh,
Ramalingam Sudhakar,Male,1959-02-14T00:00:00Z,Tamil Nadu,Panapakkam Village,2005-12-10T00:00:00Z,2022-02-12T00:00:00Z,No,No,Madras,Yes,J&KandLadakh,2016-04-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,St. Mary’s Higher Secondary School,Loyola College,Not Available,Madras Law College,Not Available,1983,Tamil Not Availabledu and Puducherry,Not Available,Not Available,No,J&KandLadakh,
A. K. Goel,Male,1959-06-16T00:00:00Z,Haryana,Hissar,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Punjab University,Arts,Punjab University,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,J&KandLadakh,
Ali Magrey,Male,1960-12-08T00:00:00Z,Jammu & Kashmir,Village Wattoo,2013-03-08T00:00:00Z,2022-12-07T00:00:00Z,No,No,J&KandLadakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Not Available,Not Available,University of Kashmir,Not Available,University of Kashmir,Not Available,1984,Not Available,Not Available,Not Available,No,J&KandLadakh,
Rajesh Bindal,Male,1961-04-16T00:00:00Z,Haryana,Ambala City,2006-03-22T00:00:00Z,2023-04-15T00:00:00Z,No,No,PunjabandHaryana,Yes,J&KandLadakh,2018-11-15T00:00:00Z,Calcutta,2021-01-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kurukshetra University,1985,1985,Not Available,Not Available,Not Available,No,J&KandLadakh,
Bawa Singh Walia,Male,1961-08-28T00:00:00Z,Punjab,Jalandhar,2014-09-25T00:00:00Z,2023-08-27T00:00:00Z,No,No,PunjabandHaryana,Yes,J&KandLadakh,2015-02-12T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,St. John's High School,"A.V. College, Chandigarh",Arts,Panjab University,1985,1985,Not Available,Not Available,Not Available,No,J&KandLadakh,
