Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Lingappa Narayana Swamy,Male,1959-07-01T00:00:00Z,NA,NA,2007-07-04T00:00:00Z,2021-06-30T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,Yes,Himachal Pradesh,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts,NA,NA,1987,Karnataka,NA,No,Yes,Karnataka,Karnataka,NA,NA,NA
M. B. Vishwanath,Male,1936-10-31T00:00:00Z,NA,NA,1994-11-30T00:00:00Z,1998-11-01T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1961,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Michael Saldanha,Male,1942-02-13T00:00:00Z,NA,NA,1994-07-01T00:00:00Z,2004-02-14T00:00:00Z,NA,No,Bombay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,NA,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1964,Maharashtra,NA,NA,NA,Karnataka,Bombay,NA,NA,NA
Mohammed Ghouse Shukure Kamal,Male,1971-06-30T00:00:00Z,Karnataka,"Kodlipet, Kodagu District",2021-03-17T00:00:00Z,2033-03-16T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,Yes,Yes,No,No,No,No,No,No,No,"Govt. Senior College, Madikare","Vidyavardhaka Law College, Mysuru",Arts,NA,NA,1994,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
M. P. Chinnappa,Male,1941-06-01T00:00:00Z,NA,NA,1995-12-18T00:00:00Z,2003-06-02T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Maheshan Nagaprasanna,Male,1971-03-23T00:00:00Z,NA,NA,2019-11-26T00:00:00Z,2033-03-22T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Makkimane Uma,Female,1964-03-10T00:00:00Z,NA,NA,2020-05-04T00:00:00Z,2026-03-10T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Government Higher Primary School,J.C.B.M College,Commerce,"Vaikunta Baliga College of Law, Udupi",NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Manjula Chellur,Female,1955-12-05T00:00:00Z,NA,NA,2000-02-21T00:00:00Z,2017-12-06T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Maralur Arun,Male,1970-04-24T00:00:00Z,NA,NA,2020-01-07T00:00:00Z,2032-04-23T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Mohamad Anwar,Male,1940-07-08T00:00:00Z,NA,NA,1995-12-18T00:00:00Z,2002-07-09T00:00:00Z,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,Karnataka,NA,NA,NA,NA
Mohammad Nawaz,Male,1965-05-22T00:00:00Z,NA,NA,2018-06-02T00:00:00Z,2026-05-21T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1990,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Mohan Shantanagoudar,Male,1958-05-05T00:00:00Z,NA,NA,2003-05-12T00:00:00Z,2020-05-06T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,Yes,Kerala,NA,NA,Yes,2017-02-17T00:00:00Z,Bar,NA,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,1980,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Nangli Sudhindrarao,Male,1959-12-04T00:00:00Z,NA,NA,2017-02-21T00:00:00Z,2021-12-04T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
N. S. Veerabhadraiah,Male,1945-05-29T00:00:00Z,NA,NA,1998-06-02T00:00:00Z,2007-05-30T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1969,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Nagaraja Kumar,Male,1954-06-28T00:00:00Z,NA,NA,2000-12-11T00:00:00Z,2016-06-27T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,1976,Karnataka,No,Yes,No,Karnataka,Karnataka,NA,NA,NA
Narayanappa Ananda,Male,1953-05-08T00:00:00Z,NA,NA,2006-01-06T00:00:00Z,2015-05-07T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,NA,NA,1977,Karnataka,NA,No,No,Karnataka,Karnataka,NA,NA,NA
Nataraj Rangaswamy,Male,1970-03-14T00:00:00Z,NA,NA,2019-11-11T00:00:00Z,2032-03-13T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1992,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Neranahalli Srinivasan Sanjay Gowda,Male,1967-02-15T00:00:00Z,NA,NA,2019-11-11T00:00:00Z,2029-11-10T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1989,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Krishna Bhat,Male,1960-08-08T00:00:00Z,Karnataka,"Vittal Padnur Village, Dakshina Kannada District",2020-05-21T00:00:00Z,2024-05-20T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"St.Aloysius College, Mangalore",Science,"Law school, Banaras Hindu University, Varanasi",NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
P. Krishnamoorthy,Male,1935-06-28T00:00:00Z,NA,NA,1994-04-28T00:00:00Z,1997-06-29T00:00:00Z,No,No,Kerala,Yes,Karnataka,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1960,Kerala,NA,NA,NA,Karnataka,Kerala,Karnataka,NA,NA
P. Vishwanatha Shetty,Male,1944-05-02T00:00:00Z,NA,NA,1995-12-18T00:00:00Z,2006-05-03T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1966,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Patil Sanganagouda,Male,1956-06-01T00:00:00Z,NA,NA,2004-10-21T00:00:00Z,2018-05-31T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts,NA,NA,1980,Karnataka,NA,No,No,Karnataka,Karnataka,NA,NA,NA
Pradeep Waingankar,Male,1954-04-10T00:00:00Z,NA,NA,2013-10-24T00:00:00Z,2016-04-11T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1981,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
P. S. Dinesh Kumar,Male,1962-02-25T00:00:00Z,NA,NA,2015-01-02T00:00:00Z,2024-02-25T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"National High School, National 
College and BMS College, 
Bengaluru.",NA,NA,NA,NA,1990,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Padmaraj Nemachandra Desai,Male,1961-05-21T00:00:00Z,Karnataka,"Navalgund, Dharwad District",2020-05-04T00:00:00Z,2023-05-03T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"P.C. Jabin Science College, Hubli",Science,"University College of Law, Dharwad",NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Patil Kanteppa,Male,1954-05-02T00:00:00Z,Karnataka,Bidar,2000-12-11T00:00:00Z,2016-05-01T00:00:00Z,NA,No,Karnataka,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,"Government Primary 
School, Bhalki & the 
Karnataka High School, 
Bidar","B.V. College, Bidar",Arts,"Renuka Charya Law 
College, Bangalore",NA,1982,Karnataka,No,No,No,Karnataka,Karnataka,NA,NA,NA
Pavankumar Bajantri,Male,1963-10-23T00:00:00Z,NA,NA,2015-01-02T00:00:00Z,2025-10-23T00:00:00Z,NA,No,Karnataka,Yes,Punjab & Haryana,2015-03-16T00:00:00Z,karnataka,2018-11-17T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Vidhyavardhaka Sangha, K.L.E.
 Society and S.J.R.C. Law 
College, Bangalore",NA,NA,NA,NA,1990,Karnataka,NA,NA,No,Karnataka,Karnataka,PunjabandHaryana,Karnataka,NA
Pradeep Singh Yerur,Male,1970-06-21T00:00:00Z,NA,NA,2019-11-11T00:00:00Z,2032-06-20T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1997,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Pralhadrao Mutalik Patil,Male,1958-02-22T00:00:00Z,NA,NA,2018-11-03T00:00:00Z,2020-02-23T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Ramakrishna Devdas,Male,1969-05-15T00:00:00Z,NA,NA,2018-02-14T00:00:00Z,2031-05-14T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Sri Ramakrishna Vidyashala, Mysore","St.Joseph’s Arts and Science College, Bangalore",Arts,"Sri Jagadguru Renukacharya College of Law, Bangalore.",NA,NA,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
R. Gururajan,Male,1945-05-08T00:00:00Z,NA,NA,1999-06-16T00:00:00Z,2007-05-09T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
R. G. Vaidhyanatha,Male,1935-07-09T00:00:00Z,NA,NA,1994-02-25T00:00:00Z,1997-07-08T00:00:00Z,No,No,Karnataka,Yes,Bombay,1994-03-17T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,NA,NA,Karnataka,Karnataka,Bombay,NA,NA
R. J. Babu,Male,1942-04-05T00:00:00Z,NA,NA,1994-02-25T00:00:00Z,2004-04-06T00:00:00Z,NA,No,Karnataka,Yes,Madras,1994-03-18T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,NA,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Karnataka,NA,NA,NA,Karnataka,Karnataka,Madras,NA,NA
Raju Varadaraluju Raveendran,Male,1946-10-15T00:00:00Z,NA,NA,1993-02-22T00:00:00Z,2011-10-15T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,Yes,Madhya Pradesh,NA,NA,Yes,2005-09-09T00:00:00Z,Bar,NA,Yes,NA,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1968,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Raghvendra Singh Chauhan,Male,1959-12-24T00:00:00Z,NA,NA,2015-03-10T00:00:00Z,2021-12-25T00:00:00Z,NA,No,Rajasthan,Yes,Telangana,2018-11-23T00:00:00Z,NA,NA,NA,NA,Yes,Uttarakhand,Telangana,NA,NA,NA,Bar,NA,Yes,NA,NA,No,No,No,No,No,NA,"Arcadia University, 
Glenside, PA (USA)",Arts,"Delhi University, Delhi",1983,1983,Rajasthan,Yes,NA,NA,Karnataka,Rajasthan,Telangana,NA,NA
Rajendra Badamikar,Male,1962-06-01T00:00:00Z,Karnataka,Hubballi,2021-03-25T00:00:00Z,2024-06-01T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"M.V.Pattan Higher Secondary School, Rabkavi, R.L.S. Science College at Belagavi","Karnataka Science College, Dharwad","Science, Zoology",JSS Sakri Law College,1987,NA,NA,NA,Yes,No,Karnataka,Karnataka,NA,NA,NA
Ram Mohan Reddy,Male,1954-06-06T00:00:00Z,NA,NA,2003-09-08T00:00:00Z,2016-06-05T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,NA,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1977,Karnataka,NA,No,No,Karnataka,Karnataka,NA,NA,NA
Rathnakala,Female,1956-01-27T00:00:00Z,NA,NA,2013-10-24T00:00:00Z,2018-01-26T00:00:00Z,No,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1982,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
Ravi Venkappa Hosmani,Male,1971-07-29T00:00:00Z,NA,NA,2020-01-07T00:00:00Z,2033-07-28T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1995,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Ravi Malimath,Male,1962-05-25T00:00:00Z,NA,NA,2008-02-18T00:00:00Z,2024-05-24T00:00:00Z,NA,No,Karnataka,Yes,Uttarakhand,2020-03-05T00:00:00Z,Himachal Pradesh,2021-01-07T00:00:00Z,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Commerce,NA,NA,1987,Karnataka,NA,No,No,Karnataka,Karnataka,Uttarakhand,HimachalPradesh,NA
Abdul Nazeer,Male,1958-01-05T00:00:00Z,Karnataka,Beluvai,2003-05-12T00:00:00Z,2020-01-04T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,2017-02-17T00:00:00Z,Bar,NA,Yes,No,NA,Yes,No,No,No,No,NA,"Mahaveera College, Moodbidri",Commerce,"SDM Law College, Kodialbail, Mangalore",NA,1983,Karnataka,No,No,No,Karnataka,Karnataka,NA,NA,NA
S. Sujatha,Female,1960-05-20T00:00:00Z,NA,NA,2015-01-02T00:00:00Z,2025-05-20T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,"Sree Jagadguru Renukacharya College 
of Law, Bangalore",NA,NA,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
S. Venkataraman,Male,1935-05-10T00:00:00Z,NA,NA,1993-02-22T00:00:00Z,1997-05-11T00:00:00Z,NA,No,Karnataka,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Central College,NA,"Government Law College, Bangalore",NA,1955,NA,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
S. B. Majage,Male,1943-03-20T00:00:00Z,NA,NA,2002-04-18T00:00:00Z,2005-03-21T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,Yes,NA,Yes,No,No,No,No,No,NA,NA,NA,Osmania University,NA,1966,NA,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
S. M. Mallikarjunagouda,Male,1958-05-05T00:00:00Z,Karnataka,NA,2003-05-12T00:00:00Z,2020-05-04T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,2017-02-17T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1980,Karnataka,No,No,No,Karnataka,Karnataka,NA,NA,NA
Sunkenahalli Satyanarayana,Male,1964-04-01T00:00:00Z,NA,NA,2008-06-02T00:00:00Z,2021-01-14T00:00:00Z,No,No,Karnataka,Yes,Punjab & Haryana,2020-03-27T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Commerce,NA,NA,1983,Karnataka,NA,No,No,Karnataka,Karnataka,PunjabandHaryana,NA,NA
S. R. Bannurmath,Male,1948-01-23T00:00:00Z,NA,NA,1997-06-11T00:00:00Z,2010-01-24T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,NA,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1973,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
S. R. Krishna Kumar,Male,1970-05-07T00:00:00Z,NA,NA,2019-09-23T00:00:00Z,2032-09-22T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,"University Law College, Bangalore",NA,1992,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Subray Nayak,Male,1945-01-01T00:00:00Z,NA,NA,1994-02-25T00:00:00Z,2007-01-02T00:00:00Z,NA,No,Karnataka,Yes,Andhra Pradesh,1994-03-21T00:00:00Z,Karnataka,2003-01-01T00:00:00Z,NA,NA,Yes,Chattisgarh,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Bangalore University,NA,1974,Karnataka,NA,NA,Yes,Karnataka,Karnataka,AndhraPradesh,Karnataka,NA
S. R. Venkatesha Murthy,Male,1938-09-27T00:00:00Z,NA,NA,1997-01-01T00:00:00Z,2000-09-28T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,"St. Joseph's College, 
Bangalore",NA,"Sharada Vilas Law Colege, Mysore",NA,NA,NA,NA,No,Yes,Karnataka,Karnataka,NA,NA,NA
Sachin Magadum,Male,1972-05-05T00:00:00Z,NA,NA,2019-09-23T00:00:00Z,2034-09-22T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,"R.L. Law College, Belagavi",NA,1998,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Satish Chandra Sharma,Male,1961-11-30T00:00:00Z,Madhya Pradesh,Bhopal,2008-01-18T00:00:00Z,2023-11-30T00:00:00Z,NA,No,Madhya Pradesh,Yes,Karnatak,2021-01-04T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,"Central School, Jabalpur","Dr. Hari Singh Gour 
University, Sagar",Science,"Dr. Hari Singh Gour University, Sagar",1984,1984,Madhya Pradesh,No,NA,No,Karnataka,MadhyaPradesh,Karnataka,NA,NA
Savanur Vishwajith Shetty,Male,1967-05-19T00:00:00Z,NA,NA,2020-04-28T00:00:00Z,2029-05-18T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Shankar Ganapathi Pandit,Male,1965-11-16T00:00:00Z,NA,NA,2018-02-14T00:00:00Z,2026-11-15T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Shivashankar Amarannavar,Male,1970-07-20T00:00:00Z,NA,NA,2020-05-04T00:00:00Z,2032-05-03T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Commerce,"Kamataka University, Dharwad",NA,1994,Karnataka,NA,NA,Yes,Karnataka,Karnataka,NA,NA,NA
Siddappa Sunil Dutt Yadav,Male,1972-08-03T00:00:00Z,NA,NA,2018-02-14T00:00:00Z,2034-08-03T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Sreenivas Kumar,Male,1963-06-16T00:00:00Z,NA,NA,2016-11-14T00:00:00Z,2025-06-16T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1987,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
Suraj Govindaraj,Male,1973-05-14T00:00:00Z,NA,NA,2019-09-23T00:00:00Z,2035-09-22T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,"National Law School of India University, 
Bangalore",NA,1995,Karnataka,NA,NA,No,Karnataka,Karnataka,NA,NA,NA
T. Jayaram Chouta,Male,1937-08-07T00:00:00Z,NA,NA,1994-02-25T00:00:00Z,1999-08-08T00:00:00Z,No,No,Karnataka,Yes,Madras,1994-03-18T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,"Government Law College, Bangalore",NA,1964,Karnataka,NA,NA,NA,Karnataka,Karnataka,Madras,NA,NA
T. N. Vallinayagam,Male,1939-05-17T00:00:00Z,NA,NA,1997-02-20T00:00:00Z,2001-05-18T00:00:00Z,NA,No,Madras,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,NA,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,Madras Law College,NA,1961,Tamil Nadu,NA,NA,NA,Karnataka,Madras,NA,NA,NA
T. S. Thakur,Male,1952-01-04T00:00:00Z,Jammu & Kashmir,Ramban,1994-03-01T00:00:00Z,2017-01-04T00:00:00Z,No,No,Jammu & Kashmir,Yes,Delhi,2004-07-01T00:00:00Z,NA,NA,NA,NA,Yes,Punjab & Haryana,NA,NA,Yes,2009-11-17T00:00:00Z,Bar,NA,Yes,Yes,NA,No,No,No,No,Yes,NA,"Govt. Gandhi Memorial 
Science College",Science,"Jammu University, Department of Law",NA,1972,Jammu & Kashmir,NA,NA,NA,Karnataka,J&KandLadakh,Delhi,NA,NA
Venkate Gopala Gowda,Male,1951-10-06T00:00:00Z,Karnataka,Peddur,1997-06-11T00:00:00Z,2013-10-07T00:00:00Z,NA,No,Karnataka,NA,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2012-12-24T00:00:00Z,Bar,NA,Yes,NA,NA,Yes,No,No,No,Yes,NA,"First Grade College, Chintamani",Science,"SJRLC, Bangalore",1975,1975,Karnataka,NA,NA,NA,Karnataka,Karnataka,NA,NA,NA
